,facility_code,step,slot_expanded
825,857868,step1,0.0
826,857868,step2,0.0
827,857868,step3,0.0
828,709911,step1,14.0
829,709911,step2,0.0
830,709911,step3,0.0
831,689581,step1,12.0
832,689581,step2,0.0
833,689581,step3,0.0
834,74205,step1,14.0
835,74205,step2,0.0
836,74205,step3,0.0
837,775110,step1,0.0
838,775110,step2,0.0
839,775110,step3,0.0
840,709905,step1,29.0
841,709905,step2,0.0
842,709905,step3,0.0
843,610480,step1,-0.0
844,610480,step2,0.0
845,610480,step3,0.0
846,875256,step1,0.0
847,875256,step2,0.0
848,875256,step3,0.0
849,822559,step1,0.0
850,822559,step2,0.0
851,822559,step3,0.0
852,709903,step1,0.0
853,709903,step2,0.0
854,709903,step3,0.0
855,880728,step1,-0.0
856,880728,step2,0.0
857,880728,step3,0.0
858,647184,step1,0.0
859,647184,step2,0.0
860,647184,step3,0.0
861,307824,step1,0.0
862,307824,step2,0.0
863,307824,step3,0.0
864,818576,step1,0.0
865,818576,step2,0.0
866,818576,step3,0.0
867,760416,step1,-0.0
868,760416,step2,0.0
869,760416,step3,0.0
870,827667,step1,0.0
871,827667,step2,0.0
872,827667,step3,0.0
873,386679,step1,-0.0
874,386679,step2,0.0
875,386679,step3,0.0
876,824251,step1,-0.0
877,824251,step2,0.0
878,824251,step3,0.0
879,709904,step1,13.0
880,709904,step2,0.0
881,709904,step3,0.0
882,128506,step1,0.0
883,128506,step2,0.0
884,128506,step3,0.0
885,913092,step1,0.0
886,913092,step2,0.0
887,913092,step3,0.0
888,895048,step1,0.0
889,895048,step2,0.0
890,895048,step3,0.0
891,917506,step1,-0.0
892,917506,step2,0.0
893,917506,step3,0.0
894,906213,step1,0.0
895,906213,step2,0.0
896,906213,step3,0.0
897,914340,step1,0.0
898,914340,step2,0.0
899,914340,step3,0.0
900,915061,step1,0.0
901,915061,step2,0.0
902,915061,step3,0.0
903,895588,step1,0.0
904,895588,step2,0.0
905,895588,step3,0.0
906,892021,step1,-0.0
907,892021,step2,0.0
908,892021,step3,0.0
909,907178,step1,14.0
910,907178,step2,0.0
911,907178,step3,0.0
912,915285,step1,2.0
913,915285,step2,0.0
914,915285,step3,0.0
915,913400,step1,0.0
916,913400,step2,0.0
917,913400,step3,0.0
918,470089,step1,0.0
919,470089,step2,0.0
920,470089,step3,0.0
921,71275,step1,-0.0
922,71275,step2,0.0
923,71275,step3,0.0
924,912608,step1,10.0
925,912608,step2,-0.0
926,912608,step3,-0.0
927,860161,step1,7.0
928,860161,step2,0.0
929,860161,step3,0.0
930,742495,step1,9.0
931,742495,step2,0.0
932,742495,step3,0.0
933,73945,step1,0.0
934,73945,step2,0.0
935,73945,step3,0.0
936,139195,step1,19.0
937,139195,step2,0.0
938,139195,step3,0.0
939,843508,step1,0.0
940,843508,step2,0.0
941,843508,step3,0.0
942,796436,step1,18.0
943,796436,step2,0.0
944,796436,step3,0.0
945,64935,step1,0.0
946,64935,step2,0.0
947,64935,step3,0.0
948,626319,step1,-0.0
949,626319,step2,0.0
950,626319,step3,0.0
951,276019,step1,0.0
952,276019,step2,0.0
953,276019,step3,0.0
954,818044,step1,14.0
955,818044,step2,0.0
956,818044,step3,0.0
957,748552,step1,29.0
958,748552,step2,6.0
959,748552,step3,0.0
960,848698,step1,0.0
961,848698,step2,0.0
962,848698,step3,0.0
963,817908,step1,0.0
964,817908,step2,0.0
965,817908,step3,0.0
966,709893,step1,0.0
967,709893,step2,0.0
968,709893,step3,0.0
969,674921,step1,0.0
970,674921,step2,0.0
971,674921,step3,0.0
972,735663,step1,0.0
973,735663,step2,0.0
974,735663,step3,0.0
975,872251,step1,0.0
976,872251,step2,0.0
977,872251,step3,0.0
978,689616,step1,0.0
979,689616,step2,0.0
980,689616,step3,0.0
981,515372,step1,-0.0
982,515372,step2,0.0
983,515372,step3,0.0
984,878365,step1,16.0
985,878365,step2,0.0
986,878365,step3,0.0
987,847691,step1,10.0
988,847691,step2,0.0
989,847691,step3,0.0
990,796160,step1,16.0
991,796160,step2,0.0
992,796160,step3,0.0
993,258374,step1,23.0
994,258374,step2,0.0
995,258374,step3,0.0
996,710472,step1,0.0
997,710472,step2,0.0
998,710472,step3,0.0
999,872614,step1,-0.0
1000,872614,step2,0.0
1001,872614,step3,0.0
1002,674207,step1,-0.0
1003,674207,step2,0.0
1004,674207,step3,0.0
1005,428571,step1,0.0
1006,428571,step2,0.0
1007,428571,step3,0.0
